production_companies,revenue_avg
Forward Pass,96161206.0
GH Three,0.0
Overbrook Entertainment,246593299.7777778
Weed Road Pictures,208378563.0
Plan B Entertainment,134182377.41666667
The Zanuck Company,158579988.0
Theobald Film Productions,0.0
Patalex III Productions Limited,0.0
1492 Pictures,357067852.46153843
21 Laps Entertainment,175972025.72727272
Museum Canada Productions,0.0
Seed Productions,0.0
NPV Entertainment,129223935.6
Silver Pictures,158157986.36666667
Heineken Branded Entertainment,0.0
Kennedy Miller Productions,144738904.83333334
Panorama Films,0.0
Skylark Productions,767820459.0
Whamaphram Productions,0.0
Cott Productions,93820758.0
"Furia de Titanes II, A.I.E.",0.0
Thunder Road Pictures,123138561.71428572
Dan Curtis Productions,0.0
Odin,0.0
TC Productions,456526987.5
Columbus 81 Productions,0.0
Pacific Data Images (PDI),441753029.4285714
Blinding Edge Pictures,208720816.42857143
Industrial Light & Magic (ILM),0.0
Nickelodeon Movies,158745160.73333332
China Film Group Corporation (CFGC),10652498.0
Cruise/Wagner Productions,219110412.41666666
MI 3 Film,0.0
The Fourth Production Company Film Group,0.0
Iron Horse Entertainment (II),144867314.0
Mythology Entertainment (II),0.0
Aardman Animations,178541919.0
Berlanti Productions,0.0
Bullwinkle Studios,0.0
Classic Media Productions,0.0
Helena Productions,0.0
Nimar Studios,266410658.33333334
Feigco Entertainment,0.0
Ghostcorps,0.0
LStar Capital,134237211.1
"Montecito Picture Company, The",96629864.0
Pascal Pictures,0.0
Valhalla Motion Pictures,94159886.0
Columbia Pictures Corporation,103545493.01162791
Parkes+MacDonald Image Nation,375421038.5
Paramount Animation,135955349.2857143
Shangri-La Entertainment,6175287.5
Oriental DreamWorks,0.0
JC 23 Entertainment,0.0
"Bedford Falls Company, The",162094318.5
Radar Pictures,65444351.25
Volcano Films,0.0
MavroCine Pictures GmbH & Co. KG,0.0
Mystery Clock Cinema,91323339.0
Pyramania,0.0
Summit Entertainment,144297547.34042552
TIK Films,240919123.5
AFG Talons Productions,0.0
Phoenix Pictures,76286756.3076923
Lawrence Gordon Productions,117461047.25
Donner/Shuler-Donner Productions,57312627.666666664
Good Machine,62559040.428571425
Saints LA,10501938.0
Babelsberg Film,242404058.66666666
Baldwin Entertainment Group,49231877.666666664
Bristol Bay Productions,124731534.0
Desertlands Entertainment,0.0
J.K. Livin Productions,0.0
Kanzaman,118110865.25
Mace Neufeld Productions,147804378.2222222
Moguletta,0.0
Sahara Productions,0.0
Chris Lee Productions,68283689.5
Square USA,0.0
Miramax,48750776.375
Samuel Goldwyn Films,47210990.6
Sunswept Entertainment,256796715.45454547
Temple Hill Entertainment,391918314.75
Dr D Studios,0.0
Kennedy Miller Mitchell,0.0
MVL Incredible Productions,0.0
Reliance Entertainment,167826346.75
Anonymous Content,46102558.78571428
Appian Way,155760172.25
CatchPlay,382946.0
Hong Kong Alpha Motion Pictures Co.,0.0
M Productions,103215094.0
Monarchy Enterprises S.a.r.l.,16872671.0
New Regency Pictures,97619476.65714286
RatPac Entertainment,107670357.0
Regency Enterprises,115500558.40983607
Blind Wink,0.0
Bourne Again,0.0
Ludlum Entertainment,288500217.0
Motion Picture BETA Produktionsgesellschaft,0.0
The Kennedy/Marshall Company,283291233.14285713
