0,1
19995,16
285,16
206647,10
49026,8
49529,10
559,16
38757,4
99861,10
767,16
209112,16
1452,16
10764,17
58,16
57201,10
49521,16
2454,16
24428,10
1865,16
41154,21
122917,16
1930,16
20662,10
57158,16
2268,16
254,6
597,8
271110,10
44833,17
135397,17
37724,17
558,16
68721,10
12155,16
36668,17
62211,4
8373,10
91314,10
68728,16
102382,16
20526,10
49013,4
44912,17
10193,4
534,17
168259,5
72190,8
127585,16
54138,10
81005,27
64682,6
9543,16
68726,10
38356,10
217,10
105864,4
62177,4
188927,10
10681,4
5174,1
14161,10
17979,4
258489,10
411,16
246655,5
155,8
14160,4
15512,4
1726,10
44826,6
8487,10
1735,16
297761,21
2698,9
137113,5
9804,10
14869,17
150540,4
278927,24
10138,10
58595,24
102651,16
119450,8
64686,24
100402,10
10192,4
158852,10
177572,4
82690,4
5255,4
47933,10
10191,4
296,17
118340,10
157336,6
27205,17
315011,6
49051,16
9799,1
4922,24
49538,10
131634,10
27022,24
503,8
241259,9
810,4
68735,16
87101,17
10140,16
676,23
1858,10
1966,6
675,16
674,16
8960,27
6479,8
118,16
2062,4
272,8
10527,4
18360,16
2080,17
605,17
109445,4
604,17
76338,16
76341,17
13448,1
10195,16
13053,4
19585,16
57165,3
62213,9
177677,17
5559,4
49444,4
10196,16
956,17
117251,8
50321,4
11619,4
266647,16
82703,4
652,6
80321,4
36669,17
43074,9
95,17
608,10
2310,4
140300,4
56292,17
81188,4
7552,2
616,6
147441,6
13475,10
557,27
82702,4
205584,9
10048,5
13183,5
944,17
1927,6
72559,17
7364,6
2114,4
1771,10
36643,17
8619,3
50620,24
65759,4
1724,10
267935,16
281957,22
77950,4
44896,4
270946,4
2503,8
9502,4
102899,10
101299,10
228161,4
74,17
8961,17
417859,4
27576,17
86834,6
17578,4
673,16
6972,6
82700,10
10567,4
181533,16
38055,4
671,16
49524,21
22,16
131631,17
591,1
172385,4
36658,17
51497,1
58574,10
18823,16
861,10
1911,16
49040,17
415,21
8871,9
435,17
955,17
2133,6
1979,13
87827,6
1250,13
324668,17
9471,10
70981,10
10996,4
68724,8
2789,5
97020,5
7459,5
42888,6
37834,21
75612,10
1895,10
1894,10
585,4
76170,16
1893,10
49519,4
2395,16
12100,6
290595,6
98566,16
49047,8
9619,17
308531,16
166424,10
1593,16
254128,8
714,17
2024,6
163,1
787,8
262500,17
2567,6
38745,2
40805,21
53182,5
41513,4
13700,4
262504,10
39254,6
77931,4
1639,17
80274,10
1571,17
120,16
10204,10
8489,6
2048,5
1495,6
10137,4
10198,4
286217,6
1635,17
24113,23
9679,1
98,6
180,17
672,16
36557,17
869,17
280,17
11322,8
4982,8
36955,17
18487,8
39451,23
27581,21
9268,8
68718,0
10545,4
11688,4
76163,17
2059,17
2486,16
16523,9
116711,4
37710,15
9946,27
1372,8
106646,8
414,21
563,17
83542,6
41216,4
314,21
184315,10
9016,4
18162,3
138103,17
257088,1
205775,8
11692,21
22972,8
227973,4
29193,8
1734,16
3131,8
76758,6
9408,4
9890,21
