revenue,budget,release_date,runtime,vote_average,vote_count,genre_vec0,genre_vec1,genre_vec2,genre_vec3,genre_vec4,genre_vec5,genre_vec6,genre_vec7,genre_vec8,genre_vec9,genre_vec10,genre_vec11,genre_vec12,genre_vec13,genre_vec14,genre_vec15,genre_vec16,genre_vec17,genre_vec18,genre_vec19,genre_vec20,genre_vec21,genre_vec22,genre_vec23,production_country_vec0,production_country_vec1,production_country_vec2,production_country_vec3,production_country_vec4,production_country_vec5,production_country_vec6,production_country_vec7,production_country_vec8,production_country_vec9,production_country_vec10,production_country_vec11,production_country_vec12,production_country_vec13,production_country_vec14,production_country_vec15,production_country_vec16,production_country_vec17,production_country_vec18,production_country_vec19,production_country_vec20,production_country_vec21,production_country_vec22,production_country_vec23,production_country_vec24,production_country_vec25,production_country_vec26,production_country_vec27,production_country_vec28,production_country_vec29,production_country_vec30,production_country_vec31,production_country_vec32,production_country_vec33,spoken_language_vec0,spoken_language_vec1,spoken_language_vec2,spoken_language_vec3,spoken_language_vec4,spoken_language_vec5,spoken_language_vec6,spoken_language_vec7,spoken_language_vec8,spoken_language_vec9,spoken_language_vec10,spoken_language_vec11,spoken_language_vec12,spoken_language_vec13,spoken_language_vec14,spoken_language_vec15,spoken_language_vec16,spoken_language_vec17,spoken_language_vec18,spoken_language_vec19,spoken_language_vec20,spoken_language_vec21,spoken_language_vec22,spoken_language_vec23,spoken_language_vec24,spoken_language_vec25,spoken_language_vec26,spoken_language_vec27,spoken_language_vec28,spoken_language_vec29,spoken_language_vec30,spoken_language_vec31,spoken_language_vec32,spoken_language_vec33,spoken_language_vec34,spoken_language_vec35,genre_class_new,keyword_class_new
2787965087,237000000,40157,162,7.2,11800,2.420449435,1.453221534,-0.84460658,2.307820537,2.437572297,6.097115086,0.473112207,-0.573538052,0.024767675,0.208206429,0.733133036,-0.362683227,1.163559809,0.5463071,2.199177015,2.35307467,1.933520491,-2.896214514,1.85195442,2.316650698,3.56941869,0.756659272,-1.290478801,3.804868208,-3.278553254,3.425422751,0.09069601,1.100865198,-2.337933847,-5.464923479,4.23773239,1.092819983,4.543440578,2.321913083,-0.417615927,3.082411029,3.421107022,-2.781900584,2.643136841,-2.89355487,-0.488611798,3.650241884,1.397916914,-4.126523942,2.035835365,-0.654290634,1.738090446,5.556408524,-1.389747007,-1.002787723,-2.404318453,-0.062339392,-6.586207179,-1.060405374,-4.322997361,0.201422308,1.942060975,3.41716164,2.95986907,3.986073999,-0.938187044,-8.123320507,1.79943858,0.10701316,2.227411864,1.377597741,0.273990977,-0.8425814,-3.425362265,1.968028405,-2.086410576,-2.835028717,5.047700822,-0.681255523,0.710322668,-3.201846268,1.045151461,-0.519120012,-1.447756608,0.494350302,-0.310665982,3.509784541,6.516760701,1.864830647,5.973802556,-1.587328798,0.465747493,0.67339908,0.369947384,-1.221555964,-4.287084508,6.179088649,0.359658221,-0.058398954,27,20
961000000,300000000,39221,169,6.9,4500,2.087116102,2.119888201,0.238726753,2.307820537,-0.22909437,7.680448419,-1.69355446,-0.573538052,-0.391898991,-1.708460237,0.983133036,-0.779349893,3.246893142,0.2963071,2.032510348,3.769741336,1.683520491,-2.479547848,1.018621086,2.566650698,5.486085357,2.506659272,-2.540478801,2.971534875,-4.778553254,5.925422751,4.09069601,2.100865198,-5.337933847,-7.464923479,7.73773239,-3.407180017,6.043440578,1.821913083,4.082384073,5.582411029,9.921107022,-3.281900584,1.643136841,-3.89355487,-4.988611798,1.150241884,1.397916914,-5.126523942,-0.464164635,-2.154290634,2.738090446,4.056408524,-3.389747007,-4.502787723,-6.404318453,-3.562339392,-7.086207179,-2.560405374,-0.822997361,-1.798577692,5.442060975,0.91716164,1.712085552,0.967210025,-0.923034987,-6.644909172,3.293554807,0.782695221,6.816852939,-2.043989679,-1.63462729,-0.880147772,-5.178766702,2.304056249,-7.251514484,1.737150374,5.355788613,4.644367885,1.982191489,-6.866060136,5.227912002,2.894126414,-0.285393365,4.995350096,0.021251499,3.234574205,7.359728357,6.023716631,8.809069521,-3.836469779,-0.448695658,5.082076777,1.040835526,2.191744743,-2.297034686,4.512566646,-3.978035978,-4.225689352,27,20
880674609,245000000,42303,148,6.3,4466,3.087116102,0.453221534,2.238726753,1.974487204,5.437572297,6.347115086,-0.69355446,1.759795281,-1.391898991,0.624873096,3.983133036,0.55398344,2.246893142,-0.7036929,4.365843682,2.769741336,2.016853824,-0.146214514,0.685287753,0.566650698,3.152752024,1.506659272,-1.207145468,4.304868208,-3.278553254,3.425422751,0.09069601,1.100865198,-2.337933847,-5.464923479,4.23773239,1.092819983,4.543440578,2.321913083,-0.417615927,3.082411029,3.421107022,-2.781900584,2.643136841,-2.89355487,-0.488611798,3.650241884,1.397916914,-4.126523942,2.035835365,-0.654290634,1.738090446,5.556408524,-1.389747007,-1.002787723,-2.404318453,-0.062339392,-6.586207179,-1.060405374,-4.322997361,0.201422308,1.942060975,3.41716164,2.164533921,-1.137498264,-1.804412175,-1.850418513,0.801214762,-2.068728676,0.74477636,-1.867242519,0.945380848,3.799141264,-1.335508107,3.734157362,-2.325992409,-3.610395668,2.789293681,-1.498568324,-0.17437136,-1.002591505,1.457327243,-0.406908755,-0.242537338,0.367598468,-1.060031218,3.618779747,3.454068044,-0.238241839,0.514201609,1.781647668,0.519512412,-0.241355539,-0.272001846,0.022075032,-0.24923918,1.487762266,2.725442834,1.719574139,26,20
1084939099,250000000,41106,165,7.6,9106,2.920449435,-0.046778466,1.40539342,1.307820537,3.687572297,3.597115086,1.223112207,1.176461948,-3.225232325,0.958206429,4.733133036,2.637316773,0.163559809,-0.2036929,1.949177015,-0.64692533,-0.066479509,0.853785486,-0.39804558,4.066650698,2.31941869,0.006659272,3.709521199,4.304868208,-4.778553254,5.925422751,4.09069601,2.100865198,-5.337933847,-7.464923479,7.73773239,-3.407180017,6.043440578,1.821913083,4.082384073,5.582411029,9.921107022,-3.281900584,1.643136841,-3.89355487,-4.988611798,1.150241884,1.397916914,-5.126523942,-0.464164635,-2.154290634,2.738090446,4.056408524,-3.389747007,-4.502787723,-6.404318453,-3.562339392,-7.086207179,-2.560405374,-0.822997361,-1.798577692,5.442060975,0.91716164,1.712085552,0.967210025,-0.923034987,-6.644909172,3.293554807,0.782695221,6.816852939,-2.043989679,-1.63462729,-0.880147772,-5.178766702,2.304056249,-7.251514484,1.737150374,5.355788613,4.644367885,1.982191489,-6.866060136,5.227912002,2.894126414,-0.285393365,4.995350096,0.021251499,3.234574205,7.359728357,6.023716631,8.809069521,-3.836469779,-0.448695658,5.082076777,1.040835526,2.191744743,-2.297034686,4.512566646,-3.978035978,-4.225689352,13,20
284139100,260000000,40975,132,6.1,2124,3.753782769,1.786554868,-0.09460658,0.974487204,4.77090563,5.347115086,0.30644554,0.426461948,0.608101009,1.958206429,1.316466369,1.220650107,2.580226476,-1.037026234,4.365843682,3.769741336,2.016853824,-2.479547848,1.35195442,1.566650698,2.81941869,-0.160007395,-2.207145468,4.638201541,-4.778553254,5.925422751,4.09069601,2.100865198,-5.337933847,-7.464923479,7.73773239,-3.407180017,6.043440578,1.821913083,4.082384073,5.582411029,9.921107022,-3.281900584,1.643136841,-3.89355487,-4.988611798,1.150241884,1.397916914,-5.126523942,-0.464164635,-2.154290634,2.738090446,4.056408524,-3.389747007,-4.502787723,-6.404318453,-3.562339392,-7.086207179,-2.560405374,-0.822997361,-1.798577692,5.442060975,0.91716164,1.712085552,0.967210025,-0.923034987,-6.644909172,3.293554807,0.782695221,6.816852939,-2.043989679,-1.63462729,-0.880147772,-5.178766702,2.304056249,-7.251514484,1.737150374,5.355788613,4.644367885,1.982191489,-6.866060136,5.227912002,2.894126414,-0.285393365,4.995350096,0.021251499,3.234574205,7.359728357,6.023716631,8.809069521,-3.836469779,-0.448695658,5.082076777,1.040835526,2.191744743,-2.297034686,4.512566646,-3.978035978,-4.225689352,26,20
890871626,258000000,39203,139,5.9,3576,2.087116102,2.119888201,0.238726753,2.307820537,-0.22909437,7.680448419,-1.69355446,-0.573538052,-0.391898991,-1.708460237,0.983133036,-0.779349893,3.246893142,0.2963071,2.032510348,3.769741336,1.683520491,-2.479547848,1.018621086,2.566650698,5.486085357,2.506659272,-2.540478801,2.971534875,-4.778553254,5.925422751,4.09069601,2.100865198,-5.337933847,-7.464923479,7.73773239,-3.407180017,6.043440578,1.821913083,4.082384073,5.582411029,9.921107022,-3.281900584,1.643136841,-3.89355487,-4.988611798,1.150241884,1.397916914,-5.126523942,-0.464164635,-2.154290634,2.738090446,4.056408524,-3.389747007,-4.502787723,-6.404318453,-3.562339392,-7.086207179,-2.560405374,-0.822997361,-1.798577692,5.442060975,0.91716164,1.708454068,-2.108594837,-3.262461046,-2.293904367,1.542936324,-3.970786882,3.142954747,-5.029879198,1.267308353,3.216339071,-1.335751604,3.632876685,-5.011265273,-0.171459261,2.515554686,0.56535022,0.885581269,-7.624457584,2.882367315,-0.606951761,1.809522419,0.505791662,-2.907363026,4.640763287,3.57899436,1.531883072,1.13896731,0.814488978,1.228641094,1.664272906,0.287490511,2.524113191,-0.29581382,-0.909828589,0.445790884,-0.714963617,27,20
591794936,260000000,40506,100,7.4,3330,-0.579550565,0.453221534,1.90539342,1.307820537,-0.062427703,0.847115086,3.973112207,1.426461948,0.274767675,-4.041793571,-1.016866964,4.387316773,4.913559809,-2.7036929,-2.800822985,-4.89692533,-2.816479509,0.353785486,-3.14804558,-2.933349302,-0.68058131,4.006659272,0.959521199,5.804868208,-4.778553254,5.925422751,4.09069601,2.100865198,-5.337933847,-7.464923479,7.73773239,-3.407180017,6.043440578,1.821913083,4.082384073,5.582411029,9.921107022,-3.281900584,1.643136841,-3.89355487,-4.988611798,1.150241884,1.397916914,-5.126523942,-0.464164635,-2.154290634,2.738090446,4.056408524,-3.389747007,-4.502787723,-6.404318453,-3.562339392,-7.086207179,-2.560405374,-0.822997361,-1.798577692,5.442060975,0.91716164,1.712085552,0.967210025,-0.923034987,-6.644909172,3.293554807,0.782695221,6.816852939,-2.043989679,-1.63462729,-0.880147772,-5.178766702,2.304056249,-7.251514484,1.737150374,5.355788613,4.644367885,1.982191489,-6.866060136,5.227912002,2.894126414,-0.285393365,4.995350096,0.021251499,3.234574205,7.359728357,6.023716631,8.809069521,-3.836469779,-0.448695658,5.082076777,1.040835526,2.191744743,-2.297034686,4.512566646,-3.978035978,-4.225689352,25,20
1405403694,280000000,42116,141,7.3,6767,3.753782769,1.786554868,-0.09460658,0.974487204,4.77090563,5.347115086,0.30644554,0.426461948,0.608101009,1.958206429,1.316466369,1.220650107,2.580226476,-1.037026234,4.365843682,3.769741336,2.016853824,-2.479547848,1.35195442,1.566650698,2.81941869,-0.160007395,-2.207145468,4.638201541,-4.778553254,5.925422751,4.09069601,2.100865198,-5.337933847,-7.464923479,7.73773239,-3.407180017,6.043440578,1.821913083,4.082384073,5.582411029,9.921107022,-3.281900584,1.643136841,-3.89355487,-4.988611798,1.150241884,1.397916914,-5.126523942,-0.464164635,-2.154290634,2.738090446,4.056408524,-3.389747007,-4.502787723,-6.404318453,-3.562339392,-7.086207179,-2.560405374,-0.822997361,-1.798577692,5.442060975,0.91716164,1.712085552,0.967210025,-0.923034987,-6.644909172,3.293554807,0.782695221,6.816852939,-2.043989679,-1.63462729,-0.880147772,-5.178766702,2.304056249,-7.251514484,1.737150374,5.355788613,4.644367885,1.982191489,-6.866060136,5.227912002,2.894126414,-0.285393365,4.995350096,0.021251499,3.234574205,7.359728357,6.023716631,8.809069521,-3.836469779,-0.448695658,5.082076777,1.040835526,2.191744743,-2.297034686,4.512566646,-3.978035978,-4.225689352,26,20
933959197,250000000,40001,153,7.4,5293,-0.246217231,-0.546778466,-1.427939914,0.641153871,-0.562427703,4.347115086,-0.69355446,0.759795281,-0.391898991,-5.375126904,-1.683533631,0.887316773,4.580226476,-2.370359567,0.032510348,-0.230258664,2.350187157,-4.146214514,0.018621086,1.233317365,3.486085357,4.506659272,-1.540478801,2.638201541,-3.278553254,3.425422751,0.09069601,1.100865198,-2.337933847,-5.464923479,4.23773239,1.092819983,4.543440578,2.321913083,-0.417615927,3.082411029,3.421107022,-2.781900584,2.643136841,-2.89355487,-0.488611798,3.650241884,1.397916914,-4.126523942,2.035835365,-0.654290634,1.738090446,5.556408524,-1.389747007,-1.002787723,-2.404318453,-0.062339392,-6.586207179,-1.060405374,-4.322997361,0.201422308,1.942060975,3.41716164,1.712085552,0.967210025,-0.923034987,-6.644909172,3.293554807,0.782695221,6.816852939,-2.043989679,-1.63462729,-0.880147772,-5.178766702,2.304056249,-7.251514484,1.737150374,5.355788613,4.644367885,1.982191489,-6.866060136,5.227912002,2.894126414,-0.285393365,4.995350096,0.021251499,3.234574205,7.359728357,6.023716631,8.809069521,-3.836469779,-0.448695658,5.082076777,1.040835526,2.191744743,-2.297034686,4.512566646,-3.978035978,-4.225689352,27,20
873260194,250000000,42452,151,5.7,7004,2.087116102,2.119888201,0.238726753,2.307820537,-0.22909437,7.680448419,-1.69355446,-0.573538052,-0.391898991,-1.708460237,0.983133036,-0.779349893,3.246893142,0.2963071,2.032510348,3.769741336,1.683520491,-2.479547848,1.018621086,2.566650698,5.486085357,2.506659272,-2.540478801,2.971534875,-4.778553254,5.925422751,4.09069601,2.100865198,-5.337933847,-7.464923479,7.73773239,-3.407180017,6.043440578,1.821913083,4.082384073,5.582411029,9.921107022,-3.281900584,1.643136841,-3.89355487,-4.988611798,1.150241884,1.397916914,-5.126523942,-0.464164635,-2.154290634,2.738090446,4.056408524,-3.389747007,-4.502787723,-6.404318453,-3.562339392,-7.086207179,-2.560405374,-0.822997361,-1.798577692,5.442060975,0.91716164,1.712085552,0.967210025,-0.923034987,-6.644909172,3.293554807,0.782695221,6.816852939,-2.043989679,-1.63462729,-0.880147772,-5.178766702,2.304056249,-7.251514484,1.737150374,5.355788613,4.644367885,1.982191489,-6.866060136,5.227912002,2.894126414,-0.285393365,4.995350096,0.021251499,3.234574205,7.359728357,6.023716631,8.809069521,-3.836469779,-0.448695658,5.082076777,1.040835526,2.191744743,-2.297034686,4.512566646,-3.978035978,-4.225689352,27,20
